"","s"
"1235","Philemon 1:3 
 Grace to you, and peace, from God our Father and the Lord Jesus Christ. 
"
"1236","Philemon 1:5 
 Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints; 
"
"1237","Philemon 1:6 
 That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus. 
"
"1238","Philemon 1:9 
 Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ. 
"
"1239","Philemon 1:23 
 There salute thee Epaphras, my fellowprisoner in Christ Jesus; 
"
"1240","Philemon 1:25 
 The grace of our Lord Jesus Christ be with your spirit. Amen. 
"
"1241","Hebrews 2:9 
 But we see Jesus, who was made a little lower than the angels for the suffering of death, crowned with glory and honour; that he by the grace of God should taste death for every man. 
"
"1242","Hebrews 3:1 
 Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus; 
"
"1243","Hebrews 4:8 
 For if Jesus had given them rest, then would he not afterward have spoken of another day. 
"
"1244","Hebrews 4:14 
 Seeing then that we have a great high priest, that is passed into the heavens, Jesus the Son of God, let us hold fast our profession. 
"
"1245","Hebrews 6:20 
 Whither the forerunner is for us entered, even Jesus, made an high priest for ever after the order of Melchisedec. 
"
"1246","Hebrews 7:22 
 By so much was Jesus made a surety of a better testament. 
"
"1247","Hebrews 10:10 
 By the which will we are sanctified through the offering of the body of Jesus Christ once for all. 
"
"1248","Hebrews 10:19 
 Having therefore, brethren, boldness to enter into the holiest by the blood of Jesus, 
"
"1249","Hebrews 12:2 
 Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God. 
"
"1250","Hebrews 12:24 
 And to Jesus the mediator of the new covenant, and to the blood of sprinkling, that speaketh better things that that of Abel. 
"
"1251","Hebrews 13:8 
 Jesus Christ the same yesterday, and to day, and for ever. 
"
"1252","Hebrews 13:12 
 Wherefore Jesus also, that he might sanctify the people with his own blood, suffered without the gate. 
"
"1253","Hebrews 13:20 
 Now the God of peace, that brought again from the dead our Lord Jesus, that great shepherd of the sheep, through the blood of the everlasting covenant, 
"
"1254","Hebrews 13:21 
 Make you perfect in every good work to do his will, working in you that which is wellpleasing in his sight, through Jesus Christ; to whom be glory for ever and ever. Amen. 
"
"1255","James 1:1 
 James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting. 
"
"1256","James 2:1 
 My brethren, have not the faith of our Lord Jesus Christ, the Lord of glory, with respect of persons. 
"
"1257","1 Peter 1:1 
 Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia, 
"
"1258","1 Peter 1:2 
 Elect according to the foreknowledge of God the Father, through sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace unto you, and peace, be multiplied. 
"
"1259","1 Peter 1:3 
 Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead, 
"
"1260","1 Peter 1:7 
 That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ: 
"
"1261","1 Peter 1:13 
 Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ; 
"
"1262","1 Peter 2:5 
 Ye also, as lively stones, are built up a spiritual house, an holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ. 
"
"1263","1 Peter 3:21 
 The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ: 
"
"1264","1 Peter 4:11 
 If any man speak, let him speak as the oracles of God; if any man minister, let him do it as of the ability which God giveth: that God in all things may be glorified through Jesus Christ, to whom be praise and dominion for ever and ever. Amen. 
"
"1265","1 Peter 5:10 
 But the God of all grace, who hath called us unto his eternal glory by Christ Jesus, after that ye have suffered a while, make you perfect, stablish, strengthen, settle you. 
"
"1266","1 Peter 5:14 
 Greet ye one another with a kiss of charity. Peace be with you all that are in Christ Jesus. Amen. 
"
"1267","2 Peter 1:1 
 Simon Peter, a servant and an apostle of Jesus Christ, to them that have obtained like precious faith with us through the righteousness of God and our Saviour Jesus Christ: 
"
"1268","2 Peter 1:2 
 Grace and peace be multiplied unto you through the knowledge of God, and of Jesus our Lord, 
"
"1269","2 Peter 1:8 
 For if these things be in you, and abound, they make you that ye shall neither be barren nor unfruitful in the knowledge of our Lord Jesus Christ. 
"
"1270","2 Peter 1:11 
 For so an entrance shall be ministered unto you abundantly into the everlasting kingdom of our Lord and Saviour Jesus Christ. 
"
"1271","2 Peter 1:14 
 Knowing that shortly I must put off this my tabernacle, even as our Lord Jesus Christ hath shewed me. 
"
"1272","2 Peter 1:16 
 For we have not followed cunningly devised fables, when we made known unto you the power and coming of our Lord Jesus Christ, but were eyewitnesses of his majesty. 
"
"1273","2 Peter 2:20 
 For if after they have escaped the pollutions of the world through the knowledge of the Lord and Saviour Jesus Christ, they are again entangled therein, and overcome, the latter end is worse with them than the beginning. 
"
"1274","2 Peter 3:18 
 But grow in grace, and in the knowledge of our Lord and Saviour Jesus Christ. To him be glory both now and for ever. Amen. 
"
"1275","1 John 1:3 
 That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ. 
"
"1276","1 John 1:7 
 But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus Christ his Son cleanseth us from all sin. 
"
"1277","1 John 2:1 
 My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous: 
"
"1278","1 John 2:22 
 Who is a liar but he that denieth that Jesus is the Christ? He is antichrist, that denieth the Father and the Son. 
"
"1279","1 John 3:23 
 And this is his commandment, That we should believe on the name of his Son Jesus Christ, and love one another, as he gave us commandment. 
"
"1280","1 John 4:2 
 Hereby know ye the Spirit of God: Every spirit that confesseth that Jesus Christ is come in the flesh is of God: 
"
"1281","1 John 4:3 
 And every spirit that confesseth not that Jesus Christ is come in the flesh is not of God: and this is that spirit of antichrist, whereof ye have heard that it should come; and even now already is it in the world. 
"
"1282","1 John 4:15 
 Whosoever shall confess that Jesus is the Son of God, God dwelleth in him, and he in God. 
"
"1283","1 John 5:1 
 Whosoever believeth that Jesus is the Christ is born of God: and every one that loveth him that begat loveth him also that is begotten of him. 
"
"1284","1 John 5:5 
 Who is he that overcometh the world, but he that believeth that Jesus is the Son of God? 
"
"1285","1 John 5:6 
 This is he that came by water and blood, even Jesus Christ; not by water only, but by water and blood. And it is the Spirit that beareth witness, because the Spirit is truth. 
"
"1286","1 John 5:20 
 And we know that the Son of God is come, and hath given us an understanding, that we may know him that is true, and we are in him that is true, even in his Son Jesus Christ. This is the true God, and eternal life. 
"
"1287","2 John 1:3 
 Grace be with you, mercy, and peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love. 
"
"1288","2 John 1:7 
 For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh. This is a deceiver and an antichrist. 
"
"1289","Jude 1:1 
 Jude, the servant of Jesus Christ, and brother of James, to them that are sanctified by God the Father, and preserved in Jesus Christ, and called: 
"
"1290","Jude 1:4 
 For there are certain men crept in unawares, who were before of old ordained to this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying the only Lord God, and our Lord Jesus Christ. 
"
"1291","Jude 1:17 
 But, beloved, remember ye the words which were spoken before of the apostles of our Lord Jesus Christ; 
"
"1292","Jude 1:21 
 Keep yourselves in the love of God, looking for the mercy of our Lord Jesus Christ unto eternal life. 
"
"1293","Revelation 1:1 
 The Revelation of Jesus Christ, which God gave unto him, to shew unto his servants things which must shortly come to pass; and he sent and signified it by his angel unto his servant John: 
"
"1294","Revelation 1:2 
 Who bare record of the word of God, and of the testimony of Jesus Christ, and of all things that he saw. 
"
"1295","Revelation 1:5 
 And from Jesus Christ, who is the faithful witness, and the first begotten of the dead, and the prince of the kings of the earth. Unto him that loved us, and washed us from our sins in his own blood, 
"
"1296","Revelation 1:9 
 I John, who also am your brother, and companion in tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus Christ. 
"
"1297","Revelation 12:17 
 And the dragon was wroth with the woman, and went to make war with the remnant of her seed, which keep the commandments of God, and have the testimony of Jesus Christ. 
"
"1298","Revelation 14:12 
 Here is the patience of the saints: here are they that keep the commandments of God, and the faith of Jesus. 
"
"1299","Revelation 17:6 
 And I saw the woman drunken with the blood of the saints, and with the blood of the martyrs of Jesus: and when I saw her, I wondered with great admiration. 
"
"1300","Revelation 19:10 
 And I fell at his feet to worship him. And he said unto me, See thou do it not: I am thy fellowservant, and of thy brethren that have the testimony of Jesus: worship God: for the testimony of Jesus is the spirit of prophecy. 
"
"1301","Revelation 20:4 
 And I saw thrones, and they sat upon them, and judgment was given unto them: and I saw the souls of them that were beheaded for the witness of Jesus, and for the word of God, and which had not worshipped the beast, neither his image, neither had received his mark upon their foreheads, or in their hands; and they lived and reigned with Christ a thousand years. 
"
"1302","Revelation 22:16 
 I Jesus have sent mine angel to testify unto you these things in the churches. I am the root and the offspring of David, and the bright and morning star. 
"
